,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
494,Endehar,0,0,0,0.0,1
495,Emphyria Vance,0,0,0,0.0167224080267558,1
496,Enger,0,0,0,0.0,1
497,Erik Ironmaker,1,1,0,0.0501672240802675,1
498,Erreck,0,1,0,0.00334448160535117,1
499,Erreg,0,1,0,0.0167224080267558,1
500,Errok,0,0,0,0.00668896321070234,1
501,Erryk (guard),0,0,0,0.0,1
502,Esgred,0,0,0,0.0,1
503,Eustace (Braavos),0,0,0,0.0100334448160535,1
504,Eustace (Dance of the Dragons),0,0,0,0.0367892976588628,1
505,Ezzara,0,1,0,0.00668896321070234,1
506,Euron Greyjoy,0,0,4,0.7391304347826079,1
507,Ezzelyno,0,1,0,0.0133779264214046,1
508,Fern,0,0,0,0.00668896321070234,1
509,Ferny,1,0,0,0.0167224080267558,1
510,Ferret,0,0,0,0.00334448160535117,1
511,Fogo,0,1,0,0.020066889632107,0
512,Fornio,0,0,0,0.0100334448160535,1
513,Fralegg,0,0,0,0.00668896321070234,1
514,Frenya,0,0,0,0.0434782608695652,0
515,Frynne,0,0,0,0.0,1
516,Gage,0,0,0,0.0334448160535117,1
517,Galladon of Morne,0,1,0,0.0,1
518,Gallard,0,1,0,0.0100334448160535,1
519,Galt,0,0,0,0.00334448160535117,1
520,Galtry the Green,0,1,0,0.0133779264214046,1
521,Galyeon of Cuy,0,0,0,0.00668896321070234,1
522,Gareth the Grey,0,1,0,0.00334448160535117,1
523,Garigus,0,1,0,0.020066889632107,1
524,Garizon,0,1,0,0.00668896321070234,1
525,Gariss,0,0,0,0.0,1
